time,lon,lat,rcp26_prcptot_p10,rcp26_prcptot_p50,rcp26_prcptot_p90,rcp45_prcptot_p10,rcp45_prcptot_p50,rcp45_prcptot_p90,rcp85_prcptot_p10,rcp85_prcptot_p50,rcp85_prcptot_p90
2043-01-01,-123.13,49.29,1402.70,1634.45,1974.67,1159.35,1525.17,1889.67,1250.43,1613.57,1810.06
2044-01-01,-123.13,49.29,1346.70,1640.77,2060.97,1238.59,1627.24,1829.73,1390.02,1647.76,1931.78
2045-01-01,-123.13,49.29,1321.89,1810.82,2018.33,1375.34,1626.31,2166.32,1379.98,1593.64,1906.39
2046-01-01,-123.13,49.29,1314.66,1722.36,1968.21,1448.80,1766.28,1943.37,1289.95,1644.14,1877.14
2047-01-01,-123.13,49.29,1445.58,1653.51,1878.11,1314.73,1670.48,1965.14,1274.49,1672.01,1955.47
2048-01-01,-123.13,49.29,1312.46,1689.73,1962.37,1324.51,1611.08,1922.18,1358.36,1615.02,2042.00
2049-01-01,-123.13,49.29,1268.26,1634.82,2036.87,1386.94,1676.54,2005.83,1357.06,1675.62,2180.68
2050-01-01,-123.13,49.29,1386.67,1681.99,2064.42,1215.84,1488.81,1875.93,1276.21,1641.23,1901.14
2051-01-01,-123.13,49.29,1433.96,1676.16,1949.02,1188.10,1623.85,1892.65,1368.59,1691.50,1959.08
2052-01-01,-123.13,49.29,1374.92,1564.98,1736.40,1367.50,1607.22,1961.93,1391.14,1699.70,2088.76
2053-01-01,-123.13,49.29,1289.02,1549.98,1896.49,1197.07,1586.55,1925.02,1218.01,1637.56,1934.07
2054-01-01,-123.13,49.29,1322.70,1554.51,1945.45,1416.76,1641.98,2128.95,1243.67,1574.59,1941.23
2055-01-01,-123.13,49.29,1234.91,1525.12,1884.67,1444.52,1671.50,1955.65,1333.89,1678.57,1974.92
2056-01-01,-123.13,49.29,1341.19,1534.90,1972.27,1331.50,1566.70,1892.51,1295.60,1539.53,1923.60
2057-01-01,-123.13,49.29,1400.66,1730.81,2082.95,1300.35,1668.04,2047.43,1318.06,1607.20,2039.24
2058-01-01,-123.13,49.29,1377.33,1568.85,1858.34,1198.13,1668.35,1944.20,1421.01,1650.03,2072.56
2059-01-01,-123.13,49.29,1393.29,1660.55,1884.36,1395.99,1589.75,1937.49,1387.24,1774.94,2069.40
2060-01-01,-123.13,49.29,1203.71,1592.74,2019.31,1253.66,1483.27,1847.06,1410.70,1684.08,1884.01
2061-01-01,-123.13,49.29,1307.96,1630.94,1978.89,1350.90,1687.19,2000.53,1368.17,1700.27,2053.17
2062-01-01,-123.13,49.29,1369.12,1646.09,2047.38,1359.50,1697.22,1974.39,1358.03,1667.61,1995.32
2063-01-01,-123.13,49.29,1445.35,1689.44,1842.69,1239.43,1622.68,1879.46,1350.84,1763.89,2005.59
2064-01-01,-123.13,49.29,1285.60,1581.72,2045.20,1330.79,1682.93,2035.45,1230.20,1768.94,2152.79
2065-01-01,-123.13,49.29,1290.26,1619.52,1962.59,1391.76,1606.17,2049.01,1254.97,1686.70,2009.17
2066-01-01,-123.13,49.29,1250.93,1582.57,1893.21,1397.19,1727.77,2072.67,1388.76,1721.47,2025.13
2067-01-01,-123.13,49.29,1441.40,1668.18,1909.42,1324.05,1636.22,2101.08,1105.21,1521.90,2103.29
